ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKG,1,2024-02-27,2025-04-08,32.96,18.34,-44.36
ARKG,2,2025-10-20,2025-11-18,33.6,26.85,-20.09
ARKG,3,2024-01-02,2024-01-31,32.72,28.44,-13.08
ARKG,4,2025-07-23,2025-08-06,26.55,23.09,-13.03
ARKG,5,2025-05-02,2025-05-06,22.67,20.34,-10.28
ARKG,6,2024-02-12,2024-02-13,31.81,29.59,-6.98
ARKG,7,2025-07-10,2025-07-15,26.12,24.33,-6.85
ARKG,8,2025-05-12,2025-05-21,22.07,20.71,-6.16
ARKG,9,2025-04-09,2025-04-10,20.56,19.36,-5.84
ARKG,10,2024-02-15,2024-02-21,31.88,30.02,-5.83
ARKG,Current,2025-10-20,2025-11-20,33.6,27.21,-19.02
