ETF,rank,peak_date,trough_date,peak_price,trough_price,depth_pct
ARKX,1,2025-01-24,2025-04-08,21.48,16.01,-25.47
ARKX,2,2024-07-16,2024-08-05,15.92,13.98,-12.19
ARKX,3,2025-10-08,2025-11-06,31.93,28.41,-11.02
ARKX,4,2025-01-06,2025-01-13,20.84,19.2,-7.87
ARKX,5,2025-07-17,2025-08-20,27.44,25.46,-7.22
ARKX,6,2024-08-19,2024-09-06,15.41,14.44,-6.29
ARKX,7,2024-04-01,2024-04-17,14.88,14.02,-5.78
ARKX,8,2024-05-20,2024-06-14,15.67,14.79,-5.62
ARKX,9,2024-11-29,2024-12-19,20.17,19.06,-5.5
ARKX,10,2024-12-26,2025-01-02,20.45,19.43,-4.99
ARKX,Current,2025-10-08,2025-11-07,31.93,28.6,-10.43
