Date,Close
2021-01-04,49.26
2021-01-05,50.32
2021-01-06,49.28
2021-01-07,51.04
2021-01-08,51.91
2021-01-11,50.92
2021-01-12,51.90
2021-01-13,52.13
2021-01-14,52.24
2021-01-15,51.65
2021-01-19,53.06
2021-01-20,54.09
2021-01-21,54.09
2021-01-22,54.53
2021-01-25,55.02
2021-01-26,53.94
2021-01-27,51.44
2021-01-28,52.71
2021-01-29,52.08
2021-02-01,54.09
2021-02-02,55.82
2021-02-03,56.07
2021-02-04,56.93
2021-02-05,57.74
2021-02-08,58.90
2021-02-09,60.21
2021-02-10,60.32
2021-02-11,61.89
2021-02-12,62.47
2021-02-16,63.54
2021-02-17,63.01
2021-02-18,61.77
2021-02-19,62.59
2021-02-22,59.84
2021-02-23,58.49
2021-02-24,57.54
2021-02-25,54.92
2021-02-26,55.23
2021-03-01,57.81
2021-03-02,57.03
2021-03-03,54.47
2021-03-04,51.33
2021-03-05,50.92
2021-03-08,48.19
2021-03-09,51.89
2021-03-10,51.63
2021-03-11,54.90
2021-03-12,54.22
2021-03-15,55.14
2021-03-16,54.90
2021-03-17,55.37
2021-03-18,52.36
2021-03-19,53.20
2021-03-22,53.30
2021-03-23,52.19
2021-03-24,49.40
2021-03-25,49.44
2021-03-26,49.92
2021-03-29,48.74
2021-03-30,49.68
2021-03-31,51.06
2021-04-01,52.57
2021-04-05,52.74
2021-04-06,53.78
2021-04-07,53.02
2021-04-08,54.75
2021-04-09,54.78
2021-04-12,54.36
2021-04-13,55.13
2021-04-14,53.66
2021-04-15,54.64
2021-04-16,53.77
2021-04-19,52.59
2021-04-20,51.79
2021-04-21,52.45
2021-04-22,52.27
2021-04-23,53.22
2021-04-26,54.21
2021-04-27,54.13
2021-04-28,54.17
2021-04-29,53.23
2021-04-30,52.20
2021-05-03,51.53
2021-05-04,50.16
2021-05-05,49.76
2021-05-06,48.77
2021-05-07,49.37
2021-05-10,46.98
2021-05-11,47.70
2021-05-12,45.81
2021-05-13,44.83
2021-05-14,46.39
2021-05-17,46.19
2021-05-18,46.62
2021-05-19,46.54
2021-05-20,48.05
2021-05-21,47.70
2021-05-24,48.65
2021-05-25,49.02
2021-05-26,49.65
2021-05-27,49.93
2021-05-28,49.79
2021-06-01,50.39
2021-06-02,50.22
2021-06-03,48.79
2021-06-04,49.45
2021-06-07,49.82
2021-06-08,49.82
2021-06-09,49.58
2021-06-10,50.08
2021-06-11,50.45
2021-06-14,51.24
2021-06-15,50.53
2021-06-16,50.40
