Date,Close
2021-01-04,122.65
2021-01-05,125.67
2021-01-06,126.13
2021-01-07,136.11
2021-01-08,140.14
2021-01-11,135.95
2021-01-12,138.68
2021-01-13,139.40
2021-01-14,142.90
2021-01-15,139.58
2021-01-19,143.73
2021-01-20,144.70
2021-01-21,142.44
2021-01-22,143.69
2021-01-25,144.27
2021-01-26,139.51
2021-01-27,136.08
2021-01-28,138.07
2021-01-29,135.19
2021-02-01,140.28
2021-02-02,144.48
2021-02-03,143.72
2021-02-04,145.92
2021-02-05,147.01
2021-02-08,150.80
2021-02-09,152.39
2021-02-10,150.59
2021-02-11,152.04
2021-02-12,154.01
2021-02-16,152.58
2021-02-17,149.68
2021-02-18,146.74
2021-02-19,150.11
2021-02-22,141.42
2021-02-23,136.76
2021-02-24,136.05
2021-02-25,127.39
2021-02-26,128.22
2021-03-01,134.46
2021-03-02,131.32
2021-03-03,123.06
2021-03-04,116.49
2021-03-05,115.15
2021-03-08,108.45
2021-03-09,119.75
2021-03-10,119.20
2021-03-11,126.57
2021-03-12,124.60
2021-03-15,126.77
2021-03-16,123.95
2021-03-17,125.37
2021-03-18,118.10
2021-03-19,120.35
2021-03-22,122.68
2021-03-23,119.71
2021-03-24,112.90
2021-03-25,112.54
2021-03-26,112.10
2021-03-29,109.35
2021-03-30,112.54
2021-03-31,117.98
2021-04-01,118.87
2021-04-05,119.65
2021-04-06,121.80
2021-04-07,118.84
2021-04-08,122.11
2021-04-09,121.24
2021-04-12,120.46
2021-04-13,125.47
2021-04-14,122.82
2021-04-15,124.54
2021-04-16,122.34
2021-04-19,118.47
2021-04-20,117.05
2021-04-21,119.82
2021-04-22,119.42
2021-04-23,121.67
2021-04-26,125.64
2021-04-27,124.17
2021-04-28,123.32
2021-04-29,119.76
2021-04-30,118.79
2021-05-03,114.99
2021-05-04,111.43
2021-05-05,109.72
2021-05-06,106.56
2021-05-07,107.92
2021-05-10,102.28
2021-05-11,104.38
2021-05-12,100.49
2021-05-13,97.85
2021-05-14,102.60
2021-05-17,101.62
2021-05-18,103.07
2021-05-19,101.28
2021-05-20,104.84
2021-05-21,104.11
2021-05-24,106.95
2021-05-25,107.59
2021-05-26,109.60
2021-05-27,110.44
2021-05-28,110.26
2021-06-01,109.43
2021-06-02,109.48
2021-06-03,105.67
2021-06-04,107.72
2021-06-07,110.84
2021-06-08,111.28
2021-06-09,111.00
2021-06-10,113.09
2021-06-11,114.22
2021-06-14,116.39
2021-06-15,113.20
2021-06-16,112.65
2021-06-17,116.56
2021-06-18,116.95
2021-06-21,117.55
2021-06-22,119.04
2021-06-23,121.51
2021-06-24,123.23
2021-06-25,123.43
2021-06-28,128.10
2021-06-29,128.73
2021-06-30,128.64
2021-07-01,127.04
2021-07-02,126.05
2021-07-06,125.15
2021-07-07,122.22
2021-07-08,121.29
2021-07-09,123.56
2021-07-12,122.70
2021-07-13,120.27
