Date,Close
2024-01-02,72.92
2024-01-03,70.50
2024-01-04,71.03
2024-01-05,71.02
2024-01-08,73.71
2024-01-09,72.74
2024-01-10,72.66
2024-01-11,71.40
2024-01-12,70.17
2024-01-16,69.73
2024-01-17,68.83
2024-01-18,68.77
2024-01-19,69.96
2024-01-22,71.07
2024-01-23,70.92
2024-01-24,69.86
2024-01-25,69.36
2024-01-26,70.02
2024-01-29,72.65
2024-01-30,71.51
2024-01-31,69.57
2024-02-01,70.29
2024-02-02,71.74
2024-02-05,69.78
2024-02-06,71.29
2024-02-07,72.85
2024-02-08,74.61
2024-02-09,76.51
2024-02-12,77.43
2024-02-13,74.46
2024-02-14,77.90
2024-02-15,78.66
2024-02-16,77.09
2024-02-20,75.00
2024-02-21,72.53
2024-02-22,74.38
2024-02-23,74.97
2024-02-26,77.19
2024-02-27,78.36
2024-02-28,78.77
2024-02-29,79.99
2024-03-01,80.61
2024-03-04,81.48
2024-03-05,78.23
2024-03-06,80.51
2024-03-07,81.66
2024-03-08,82.34
2024-03-11,82.59
2024-03-12,82.53
2024-03-13,82.83
2024-03-14,80.61
2024-03-15,80.13
2024-03-18,80.20
2024-03-19,79.19
2024-03-20,82.15
2024-03-21,82.66
2024-03-22,81.41
2024-03-25,83.69
2024-03-26,83.44
2024-03-27,82.95
2024-03-28,83.30
2024-04-01,82.11
2024-04-02,80.27
2024-04-03,80.66
2024-04-04,79.59
2024-04-05,80.00
2024-04-08,81.75
2024-04-09,81.44
2024-04-10,80.68
2024-04-11,81.82
2024-04-12,79.14
2024-04-15,75.71
2024-04-16,75.25
2024-04-17,74.41
2024-04-18,74.40
2024-04-19,72.82
2024-04-22,73.98
2024-04-23,76.35
2024-04-24,75.92
2024-04-25,75.88
2024-04-26,76.22
2024-04-29,76.91
2024-04-30,74.15
2024-05-01,73.85
2024-05-02,76.35
2024-05-03,76.74
2024-05-06,78.60
2024-05-07,77.26
2024-05-08,76.31
2024-05-09,75.73
2024-05-10,73.95
2024-05-13,74.89
2024-05-14,75.96
2024-05-15,78.10
2024-05-16,76.96
2024-05-17,78.19
2024-05-20,78.96
2024-05-21,78.53
2024-05-22,77.52
2024-05-23,75.97
2024-05-24,77.43
2024-05-28,77.81
2024-05-29,76.65
2024-05-30,75.84
2024-05-31,74.59
2024-06-03,75.40
2024-06-04,75.91
2024-06-05,77.40
2024-06-06,78.24
2024-06-07,76.90
2024-06-10,77.66
2024-06-11,77.22
2024-06-12,78.36
2024-06-13,77.30
2024-06-14,76.77
2024-06-17,77.73
2024-06-18,76.74
2024-06-20,76.49
2024-06-21,76.67
2024-06-24,75.26
2024-06-25,76.49
2024-06-26,77.01
2024-06-27,78.12
2024-06-28,78.03
2024-07-01,79.23
2024-07-02,79.35
2024-07-03,80.25
2024-07-05,80.56
2024-07-08,80.14
2024-07-09,80.61
2024-07-10,80.62
2024-07-11,79.49
2024-07-12,80.95
2024-07-15,83.63
2024-07-16,84.59
2024-07-17,82.64
2024-07-18,81.32
2024-07-19,81.50
2024-07-22,82.57
2024-07-23,82.09
2024-07-24,78.05
2024-07-25,77.09
2024-07-26,78.48
2024-07-29,78.40
2024-07-30,76.67
2024-07-31,77.79
2024-08-01,75.40
2024-08-02,73.39
2024-08-05,68.06
2024-08-06,70.48
2024-08-07,69.59
2024-08-08,73.06
2024-08-09,73.79
2024-08-12,73.03
2024-08-13,75.63
2024-08-14,75.17
2024-08-15,77.24
2024-08-16,78.11
2024-08-19,79.38
2024-08-20,78.55
2024-08-21,80.51
2024-08-22,78.66
2024-08-23,81.72
2024-08-26,80.46
2024-08-27,80.11
2024-08-28,78.31
2024-08-29,78.64
2024-08-30,79.19
2024-09-03,76.48
2024-09-04,76.34
2024-09-05,76.77
2024-09-06,74.00
2024-09-09,76.22
2024-09-10,77.02
2024-09-11,78.36
2024-09-12,80.13
2024-09-13,81.08
2024-09-16,80.82
2024-09-17,81.60
2024-09-18,81.35
2024-09-19,84.10
2024-09-20,84.03
2024-09-23,84.48
2024-09-24,85.56
2024-09-25,84.96
2024-09-26,85.14
2024-09-27,85.67
2024-09-30,85.13
2024-10-01,83.34
2024-10-02,82.68
2024-10-03,82.23
2024-10-04,84.34
2024-10-07,83.74
2024-10-08,85.16
2024-10-09,85.31
2024-10-10,85.31
2024-10-11,86.11
2024-10-14,87.19
2024-10-15,87.07
2024-10-16,87.54
2024-10-17,87.04
2024-10-18,88.66
2024-10-21,87.81
2024-10-22,87.40
2024-10-23,85.40
2024-10-24,88.28
2024-10-25,88.50
2024-10-28,89.78
2024-10-29,90.71
2024-10-30,90.71
2024-10-31,86.96
2024-11-01,87.28
2024-11-04,86.62
2024-11-05,89.51
2024-11-06,96.11
2024-11-07,97.61
2024-11-08,98.73
2024-11-11,104.75
2024-11-12,105.41
2024-11-13,104.61
2024-11-14,102.49
2024-11-15,102.41
2024-11-18,104.74
2024-11-19,106.36
2024-11-20,105.86
2024-11-21,106.43
2024-11-22,108.34
2024-11-25,107.78
2024-11-26,106.38
2024-11-27,107.51
2024-11-29,108.27
2024-12-02,110.22
2024-12-03,111.30
2024-12-04,114.96
2024-12-05,115.04
2024-12-06,118.69
2024-12-09,115.41
2024-12-10,113.74
2024-12-11,117.19
2024-12-12,116.59
2024-12-13,117.10
2024-12-16,120.04
2024-12-17,119.88
2024-12-18,112.28
2024-12-19,111.18
2024-12-20,112.69
2024-12-23,111.84
2024-12-24,115.11
2024-12-26,114.48
2024-12-27,111.68
2024-12-30,109.71
2024-12-31,107.98
2025-01-02,109.13
2025-01-03,113.22
2025-01-06,115.72
2025-01-07,110.98
2025-01-08,110.99
2025-01-10,109.44
2025-01-13,108.21
2025-01-14,109.13
2025-01-15,113.49
2025-01-16,113.51
2025-01-17,115.58
2025-01-21,117.77
2025-01-22,117.71
2025-01-23,118.62
2025-01-24,118.81
2025-01-27,115.63
2025-01-28,119.29
2025-01-29,120.03
2025-01-30,121.77
2025-01-31,120.44
2025-02-03,118.55
2025-02-04,121.47
2025-02-05,121.63
2025-02-06,120.48
2025-02-07,121.05
2025-02-10,122.14
2025-02-11,119.37
2025-02-12,121.19
2025-02-13,124.09
2025-02-14,125.64
2025-02-18,123.86
2025-02-19,121.89
2025-02-20,120.73
2025-02-21,114.92
2025-02-24,112.41
2025-02-25,107.35
2025-02-26,107.94
2025-02-27,105.40
2025-02-28,107.06
2025-03-03,103.87
2025-03-04,103.68
2025-03-05,106.96
2025-03-06,101.59
2025-03-07,100.82
2025-03-10,91.59
2025-03-11,93.59
2025-03-12,96.23
2025-03-13,92.06
2025-03-14,96.28
2025-03-17,97.38
2025-03-18,94.57
2025-03-19,98.03
2025-03-20,98.20
2025-03-21,100.11
2025-03-24,105.08
2025-03-25,105.83
2025-03-26,101.80
2025-03-27,100.46
2025-03-28,96.36
2025-03-31,94.67
2025-04-01,96.82
2025-04-02,99.34
2025-04-03,91.23
2025-04-04,85.38
2025-04-07,85.18
2025-04-08,82.77
2025-04-09,94.09
2025-04-10,90.55
2025-04-11,92.22
2025-04-14,92.81
2025-04-15,93.58
2025-04-16,91.23
2025-04-17,91.48
2025-04-21,89.72
2025-04-22,93.38
2025-04-23,96.96
2025-04-24,100.44
2025-04-25,103.22
2025-04-28,103.26
2025-04-29,103.95
2025-04-30,102.91
2025-05-01,103.37
2025-05-02,104.85
2025-05-05,103.55
2025-05-06,102.14
2025-05-07,102.58
2025-05-08,105.99
2025-05-09,106.67
2025-05-12,112.10
2025-05-13,117.96
2025-05-14,119.43
2025-05-15,117.75
2025-05-16,119.93
2025-05-19,119.66
2025-05-20,119.81
2025-05-21,118.49
2025-05-22,120.02
2025-05-23,118.94
2025-05-27,122.68
2025-05-28,121.42
2025-05-29,120.33
2025-05-30,120.71
2025-06-02,121.79
2025-06-03,124.50
2025-06-04,124.61
2025-06-05,121.41
2025-06-06,129.66
2025-06-09,131.35
2025-06-10,131.35
2025-06-11,132.38
2025-06-12,129.88
2025-06-13,130.02
2025-06-16,135.90
2025-06-17,134.28
2025-06-18,139.17
2025-06-20,141.46
2025-06-23,143.80
2025-06-24,146.60
2025-06-25,145.22
2025-06-26,147.90
2025-06-27,145.65
2025-06-30,147.62
2025-07-01,144.46
2025-07-02,146.31
2025-07-03,148.08
2025-07-07,148.46
2025-07-08,147.46
2025-07-09,150.04
2025-07-10,150.80
2025-07-11,149.33
2025-07-14,152.50
2025-07-15,151.95
2025-07-16,157.04
2025-07-17,158.96
2025-07-18,160.03
2025-07-21,159.39
2025-07-22,156.97
2025-07-23,157.55
2025-07-24,156.31
