Date,Close
2021-03-30,20.30
2021-03-31,20.57
2021-04-01,20.91
2021-04-05,21.14
2021-04-06,21.10
2021-04-07,20.81
2021-04-08,21.05
2021-04-09,21.03
2021-04-12,20.91
2021-04-13,21.00
2021-04-14,20.92
2021-04-15,20.98
2021-04-16,20.97
2021-04-19,20.68
2021-04-20,20.22
2021-04-21,20.50
2021-04-22,20.48
2021-04-23,20.70
2021-04-26,20.85
2021-04-27,20.84
2021-04-28,20.84
2021-04-29,20.79
2021-04-30,20.59
2021-05-03,20.47
2021-05-04,20.24
2021-05-05,20.15
2021-05-06,20.24
2021-05-07,20.44
2021-05-10,19.90
2021-05-11,19.76
2021-05-12,19.19
2021-05-13,19.32
2021-05-14,19.75
2021-05-17,19.67
2021-05-18,19.65
2021-05-19,19.55
2021-05-20,19.81
2021-05-21,19.86
2021-05-24,20.06
2021-05-25,20.13
2021-05-26,20.19
2021-05-27,20.37
2021-05-28,20.39
2021-06-01,20.65
2021-06-02,20.68
2021-06-03,20.53
2021-06-04,20.77
2021-06-07,20.72
2021-06-08,20.71
2021-06-09,20.56
2021-06-10,20.63
2021-06-11,20.62
2021-06-14,20.68
2021-06-15,20.59
2021-06-16,20.45
2021-06-17,20.60
2021-06-18,20.37
2021-06-21,20.72
2021-06-22,20.78
2021-06-23,20.83
2021-06-24,21.05
2021-06-25,21.14
2021-06-28,21.16
2021-06-29,21.21
2021-06-30,21.01
2021-07-01,21.01
2021-07-02,20.96
2021-07-06,20.84
2021-07-07,20.78
2021-07-08,20.56
2021-07-09,20.90
2021-07-12,20.86
2021-07-13,20.70
2021-07-14,20.51
2021-07-15,20.29
2021-07-16,20.09
2021-07-19,19.83
2021-07-20,20.30
2021-07-21,20.51
2021-07-22,20.49
2021-07-23,20.54
2021-07-26,20.32
2021-07-27,20.00
2021-07-28,20.43
2021-07-29,20.55
2021-07-30,20.34
2021-08-02,20.33
2021-08-03,20.31
2021-08-04,20.17
2021-08-05,20.48
2021-08-06,20.36
2021-08-09,20.41
2021-08-10,20.42
2021-08-11,20.77
2021-08-12,20.62
2021-08-13,20.27
2021-08-16,20.16
2021-08-17,19.92
2021-08-18,19.80
2021-08-19,19.65
2021-08-20,19.83
2021-08-23,20.17
2021-08-24,20.38
2021-08-25,20.50
2021-08-26,20.45
2021-08-27,20.85
2021-08-30,21.13
2021-08-31,21.03
2021-09-01,21.13
2021-09-02,21.25
2021-09-03,21.19
2021-09-07,21.16
2021-09-08,20.92
2021-09-09,20.88
2021-09-10,20.79
2021-09-13,20.67
2021-09-14,20.41
2021-09-15,20.50
2021-09-16,20.50
2021-09-17,20.49
2021-09-20,20.09
2021-09-21,20.05
2021-09-22,20.31
2021-09-23,20.55
2021-09-24,20.44
2021-09-27,20.42
2021-09-28,19.87
2021-09-29,19.77
2021-09-30,19.57
2021-10-01,19.70
2021-10-04,19.25
2021-10-05,19.45
2021-10-06,19.44
2021-10-07,19.71
2021-10-08,19.57
2021-10-11,19.44
2021-10-12,19.52
2021-10-13,19.63
2021-10-14,19.87
2021-10-15,19.89
2021-10-18,19.95
2021-10-19,20.24
2021-10-20,20.22
2021-10-21,20.36
2021-10-22,20.19
2021-10-25,20.30
2021-10-26,20.17
