Date,NVDA,AAPL,MSFT,AMZN,TSLA,META,WMT,GOOGL,GOOG,AVGO,COST,NFLX,MU,PLTR,AMD,CSCO,AMAT,LRCX,TMUS,LIN,INTC,PEP,KLAC,AMGN,TXN,GILD,ISRG,ADI,HON,QCOM,BKNG,PANW,APP,INTU,ASML,VRTX,CMCSA,SBUX,CEG,ADBE,CRWD,WDC,MELI,MAR,MRVL,STX,ADP,REGN,ORLY,CDNS,CSX,SNPS,MDLZ,AEP,MNST,ROST,PDD,WBD,CTAS,DASH,PCAR,FTNT,BKR,FANG,MPWR,ABNB,FAST,EA,ADSK,EXC,NXPI,XEL,IDXX,ALNY,PYPL,CCEP,ODFL,MSTR,DDOG,TTWO,ROP,KDP,INSM,MCHP,AXON,PAYX,GEHC,CPRT,CTSH,WDAY,CHTR,KHC,VRSK,DXCM,ZS,ARM,CSGP,TEAM
2021-01-04,13.08,125.86,208.41,159.33,243.26,266.85,45.54,85.60,85.71,38.17,359.20,52.29,72.22,23.37,92.30,37.83,83.09,45.21,127.33,240.73,44.90,122.56,246.35,192.31,139.82,49.33,266.67,133.39,176.12,132.49,84.98,58.61,,358.45,477.32,229.43,40.22,91.53,,485.34,200.49,39.31,1640.00,120.10,45.37,50.95,151.06,479.62,30.26,135.76,27.33,254.70,50.63,67.37,45.30,110.48,166.78,30.63,81.86,139.19,46.77,29.11,18.43,39.39,351.14,139.15,21.00,135.70,296.84,24.39,147.73,55.62,491.77,128.10,230.69,41.70,92.97,42.52,91.23,201.85,405.84,27.51,33.42,61.66,116.85,77.66,,30.16,73.13,228.08,647.03,26.68,196.00,89.43,196.09,,89.53,231.56
2021-01-05,13.37,127.41,208.61,160.93,245.04,268.86,45.30,86.29,86.34,38.43,355.03,52.08,75.35,24.60,92.77,37.85,85.70,46.77,126.77,244.51,45.75,122.92,251.52,193.24,140.85,49.24,268.35,135.78,176.55,135.99,85.92,58.36,,355.72,482.44,228.58,39.98,91.83,,485.69,211.24,39.93,1650.00,121.37,46.64,51.02,150.64,480.21,30.09,136.14,27.80,258.89,50.69,67.27,45.71,110.58,187.20,31.52,83.12,144.43,47.17,28.35,18.64,43.19,356.66,148.30,21.28,137.46,301.70,24.36,151.04,55.07,497.26,127.45,233.66,41.54,93.48,42.86,93.03,204.74,405.49,27.55,33.45,63.02,122.30,77.37,,30.03,73.35,225.36,636.59,26.17,195.12,92.19,193.48,,89.38,234.42
2021-01-06,12.58,123.12,203.20,156.92,251.99,261.26,45.58,85.44,86.06,38.19,349.63,50.05,75.20,23.54,90.33,38.21,86.87,46.96,126.46,252.54,46.20,121.42,250.97,197.90,141.55,50.84,264.26,136.39,179.77,134.89,88.34,57.55,,348.13,467.98,226.65,40.45,92.50,,466.31,208.85,40.20,1571.98,124.54,45.56,50.78,150.11,466.94,31.01,130.64,28.53,249.70,50.59,67.81,45.35,115.41,176.75,34.25,83.62,140.01,49.03,27.62,19.43,45.32,345.15,142.77,21.64,133.06,302.87,25.15,153.82,56.29,483.60,126.83,225.62,42.25,94.24,48.06,91.33,201.53,409.57,27.66,34.05,64.23,121.69,78.34,,29.45,73.81,220.00,624.51,26.46,193.28,93.98,184.42,,89.67,224.48
2021-01-07,13.31,127.33,208.98,158.11,272.01,266.65,45.58,87.99,88.63,39.80,347.64,50.89,77.15,25.00,95.16,38.69,90.44,48.66,128.06,251.81,47.18,121.03,263.25,198.55,144.75,51.31,269.40,142.15,180.06,138.91,87.95,60.52,,355.49,478.68,232.90,40.53,91.75,,477.74,221.47,41.20,1597.97,125.47,48.02,50.98,150.96,477.97,31.33,137.05,29.21,258.84,50.49,66.00,46.75,115.15,180.12,34.40,84.59,152.77,48.80,28.65,19.88,45.70,366.95,151.27,21.91,136.89,315.20,24.90,159.54,55.19,495.19,139.40,233.79,43.46,98.46,53.58,96.64,208.01,417.07,27.82,34.03,66.84,124.57,78.67,,30.22,74.54,226.21,629.77,26.27,194.16,96.79,193.05,,90.55,233.38
2021-01-08,13.24,128.42,210.25,159.13,293.34,265.49,45.57,89.15,89.62,40.01,349.55,51.04,75.51,25.20,94.58,38.78,91.40,47.44,129.86,251.51,46.69,122.48,267.98,202.35,147.53,51.73,272.92,143.18,177.88,139.75,89.59,61.09,,361.69,485.66,237.00,41.23,93.81,,485.10,223.73,39.00,1719.00,124.83,48.08,50.04,152.92,495.38,31.86,136.19,29.77,262.80,50.87,65.42,47.49,115.52,180.77,34.63,83.42,156.09,48.47,29.63,19.70,45.68,372.88,149.77,22.37,137.98,319.85,25.01,159.57,55.70,513.20,146.66,241.17,44.25,100.22,53.16,99.94,210.43,417.57,28.00,33.63,66.26,125.36,79.09,,30.55,75.46,227.65,634.38,26.21,194.09,97.02,197.37,,91.95,235.48
2021-01-11,13.58,125.44,208.22,155.71,270.40,254.84,45.78,87.09,87.62,40.02,343.95,49.91,76.73,25.93,97.25,39.04,93.69,48.85,127.81,248.84,46.59,120.71,273.59,201.57,147.66,51.30,271.22,144.61,176.46,139.28,87.22,60.80,,359.64,484.91,234.64,41.22,92.86,,474.24,232.24,38.80,1761.55,123.84,49.22,49.80,150.65,499.55,32.26,134.69,29.82,260.43,49.91,65.09,46.47,114.07,172.49,35.13,80.89,167.00,48.70,29.63,19.86,46.92,377.74,148.13,22.25,137.36,317.81,24.80,157.91,54.55,506.55,156.63,236.24,43.20,98.65,49.55,104.25,206.54,424.77,27.44,33.20,66.44,124.84,78.21,,30.22,73.80,228.83,641.13,25.61,191.16,92.66,198.70,,90.44,230.67
2021-01-12,13.45,125.26,205.76,156.04,283.15,249.13,46.30,86.16,86.62,40.34,344.13,49.42,77.50,26.18,95.36,39.41,95.65,50.73,123.73,248.00,48.13,120.15,275.37,200.74,148.51,50.95,262.81,145.33,176.90,137.80,86.24,61.75,,353.20,490.62,229.38,40.01,91.28,,471.65,233.59,37.56,1810.09,122.62,49.61,50.06,151.14,502.36,33.03,133.72,29.79,258.58,50.11,64.31,46.99,114.34,169.48,35.30,80.88,191.99,49.38,30.58,20.20,50.60,376.84,160.80,22.75,135.26,320.13,24.93,160.53,53.70,496.73,165.65,236.38,42.40,99.14,51.42,105.58,199.15,416.50,27.44,36.51,67.12,135.00,77.97,,30.46,73.34,225.62,621.49,25.09,189.97,90.04,205.90,,88.23,234.19
2021-01-13,13.49,127.30,207.11,158.29,284.80,249.68,45.83,86.65,87.01,40.51,346.73,50.78,77.94,25.50,91.78,39.04,93.78,49.79,123.55,249.03,51.48,121.13,274.52,201.71,147.74,50.50,270.48,144.77,175.33,140.45,85.70,60.97,,352.52,490.74,227.10,40.13,91.34,,472.05,226.42,37.23,1798.19,121.77,49.22,50.79,147.21,508.46,32.19,134.12,29.40,257.14,50.15,64.56,45.94,112.45,164.80,36.69,80.01,198.00,49.10,29.58,20.16,49.53,373.66,169.99,22.34,132.61,314.33,25.36,161.75,55.06,497.58,170.93,243.60,42.44,97.97,51.93,104.85,199.50,400.19,27.70,36.38,67.74,145.26,76.97,,29.77,73.31,229.07,618.01,24.95,190.21,90.64,207.08,,89.19,229.87
2021-01-14,13.16,125.37,203.94,156.37,281.67,243.73,45.68,85.84,86.30,40.58,342.38,50.09,79.29,24.92,90.79,38.85,101.19,52.75,119.89,245.27,53.56,120.43,287.56,205.04,148.00,51.21,265.71,145.67,176.68,143.51,85.70,60.53,,353.05,519.94,226.12,39.66,90.39,,463.27,225.62,37.91,1852.53,124.10,50.27,50.85,144.75,514.43,31.43,135.40,29.04,257.91,50.10,65.13,45.68,110.48,167.26,37.25,77.94,207.24,49.27,29.51,20.79,49.84,371.72,180.50,22.18,135.14,311.11,25.23,164.10,53.84,488.90,165.07,240.77,41.97,101.17,63.10,101.84,195.47,394.63,27.60,37.37,68.90,149.64,75.69,,29.32,73.71,227.33,623.09,25.01,187.31,88.02,209.87,,86.83,222.97
2021-01-15,12.82,123.65,203.58,155.21,275.39,249.40,44.95,85.67,86.10,40.03,342.20,49.80,78.73,25.64,88.21,39.10,98.65,51.78,122.38,240.06,52.05,120.11,287.80,208.29,145.83,51.97,259.47,144.11,174.44,140.15,83.21,60.81,,358.36,503.57,225.55,38.95,90.85,,458.08,219.51,38.54,1851.78,122.05,49.74,51.32,144.05,514.45,31.11,134.64,29.02,258.92,50.02,66.48,45.83,110.39,161.20,36.76,77.69,187.15,48.67,29.31,20.05,47.67,365.01,169.27,22.25,135.20,308.51,25.69,157.01,55.02,489.46,166.36,238.51,41.86,101.11,57.81,99.84,196.28,398.70,27.88,36.24,66.78,150.77,75.95,,28.94,73.89,222.56,628.91,24.94,183.58,88.55,211.06,,85.37,222.93
