Date,AAPL,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,APP,ASML,AVGO,BKNG,CEG,CMCSA,COST,CRWD,CSCO,GILD,GOOG,GOOGL,HON,INTC,INTU,ISRG,KLAC,LIN,LRCX,MAR,MELI,META,MRVL,MSFT,MU,NFLX,NVDA,ORLY,PANW,PEP,PLTR,QCOM,REGN,SBUX,SHOP,STX,TMUS,TSLA,TXN,VRTX,WDC,WMT
2021-01-04,125.86,485.34,133.39,151.06,83.09,92.30,192.31,159.33,,477.32,38.17,2124.39,,40.69,359.20,200.49,38.04,49.33,85.71,85.60,176.12,44.90,359.56,266.67,246.35,240.73,45.21,120.10,1640.00,266.85,45.39,208.41,72.22,52.29,13.08,30.26,58.61,122.56,23.37,132.49,479.62,91.53,109.24,50.95,127.33,243.26,139.82,229.43,39.31,45.54
2021-01-05,127.41,485.69,135.78,150.64,85.70,92.77,193.24,160.93,,482.44,38.43,2147.94,,40.45,355.03,211.24,38.05,49.24,86.34,86.29,176.55,45.75,356.82,268.35,251.52,244.51,46.77,121.37,1650.00,268.86,46.66,208.61,75.35,52.08,13.37,30.09,58.36,122.92,24.60,135.99,480.21,91.83,111.87,51.02,126.77,245.04,140.85,228.58,39.93,45.30
2021-01-06,123.12,466.31,136.39,150.11,86.87,90.33,197.90,156.92,,467.98,38.19,2208.55,,40.92,349.63,208.85,38.42,50.84,86.06,85.44,179.77,46.20,349.21,264.26,250.97,252.54,46.96,124.54,1571.98,261.26,45.59,203.20,75.20,50.05,12.58,31.01,57.55,121.42,23.54,134.89,466.94,92.50,108.73,50.78,126.46,251.99,141.55,226.65,40.20,45.58
2021-01-07,127.33,477.74,142.15,150.96,90.44,95.16,198.55,158.11,,478.68,39.80,2198.77,,41.00,347.64,221.47,38.90,51.31,88.63,87.99,180.06,47.18,356.59,269.40,263.25,251.81,48.66,125.47,1597.97,266.65,48.05,208.98,77.15,50.89,13.31,31.33,60.52,121.03,25.00,138.91,477.97,91.75,115.95,50.98,128.06,272.01,144.75,232.90,41.20,45.58
2021-01-08,128.42,485.10,143.18,152.92,91.40,94.58,202.35,159.13,,485.66,40.01,2239.70,,41.71,349.55,223.73,38.99,51.73,89.62,89.15,177.88,46.69,362.81,272.92,267.98,251.51,47.44,124.83,1719.00,265.49,48.10,210.25,75.51,51.04,13.24,31.86,61.09,122.48,25.20,139.75,495.38,93.81,118.89,50.04,129.86,293.34,147.53,237.00,39.00,45.57
2021-01-11,125.44,474.24,144.61,150.65,93.69,97.25,201.57,155.71,,484.91,40.02,2180.53,,41.70,343.95,232.24,39.25,51.30,87.62,87.09,176.46,46.59,360.76,271.22,273.59,248.84,48.85,123.84,1761.55,254.84,49.24,208.22,76.73,49.91,13.58,32.26,60.80,120.71,25.93,139.28,499.55,92.86,117.76,49.80,127.81,270.40,147.66,234.64,38.80,45.78
2021-01-12,125.26,471.65,145.33,151.14,95.65,95.36,200.74,156.04,,490.62,40.34,2156.06,,40.47,344.13,233.59,39.62,50.95,86.62,86.16,176.90,48.13,354.29,262.81,275.37,248.00,50.73,122.62,1810.09,249.13,49.63,205.76,77.50,49.42,13.45,33.03,61.75,120.15,26.18,137.80,502.36,91.28,118.82,50.06,123.73,283.15,148.51,229.38,37.56,46.30
2021-01-13,127.30,472.05,144.77,147.21,93.78,91.78,201.71,158.29,,490.74,40.51,2142.40,,40.59,346.73,226.42,39.25,50.50,87.01,86.65,175.33,51.48,353.60,270.48,274.52,249.03,49.79,121.77,1798.19,249.68,49.24,207.11,77.94,50.78,13.49,32.19,60.97,121.13,25.50,140.45,508.46,91.34,119.98,50.79,123.55,284.80,147.74,227.10,37.23,45.83
2021-01-14,125.37,463.27,145.67,144.75,101.19,90.79,205.04,156.37,,519.94,40.58,2142.56,,40.13,342.38,225.62,39.07,51.21,86.30,85.84,176.68,53.56,354.14,265.71,287.56,245.27,52.75,124.10,1852.53,243.73,50.29,203.94,79.29,50.09,13.16,31.43,60.53,120.43,24.92,143.51,514.43,90.39,117.89,50.85,119.89,281.67,148.00,226.12,37.91,45.68
2021-01-15,123.65,458.08,144.11,144.05,98.65,88.21,208.29,155.21,,503.57,40.03,2080.37,,39.41,342.20,219.51,39.31,51.97,86.10,85.67,174.44,52.05,359.47,259.47,287.80,240.06,51.78,122.05,1851.78,249.40,49.76,203.58,78.73,49.80,12.82,31.11,60.81,120.11,25.64,140.15,514.45,90.85,117.05,51.32,122.38,275.39,145.83,225.55,38.54,44.95
